checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,member_total_book_count,title,author,genre,pages,publication_year,publisher,source
9263,1047,517,2024-10-21,2024-11-07,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,16.0,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,Library Database
9340,1072,513,2025-08-24,2025-09-01,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9231,1053,523,2024-02-04,2024-02-16,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5.0,Footsteps in the Dust,Laila Shokry,Historical,276,2018.0,Oasis Books,Library Database
9129,1032,513,2025-06-21,2025-06-29,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9370,1079,511,2025-11-11,2025-12-03,Rana,Osman,8.0,Shubra,Active,2024-10-27,10.0,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Library Database
9082,1010,528,2025-11-11,2025-11-18,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18.0,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,Library Database
9238,1057,513,2024-03-28,2024-04-08,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,10.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9012,1010,501,2025-02-17,,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9127,1024,506,2025-06-13,,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17.0,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Library Database
9020,1016,506,2024-04-15,2024-05-04,Dina,Rashad,8.0,Maadi,Active,2023-04-24,7.0,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Library Database
9208,1044,525,2024-07-10,2024-08-01,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9319,1065,515,2025-02-10,2025-02-21,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Library Database
9097,1018,501,2025-10-05,2025-10-14,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9137,1041,519,2025-07-27,2025-08-05,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,2.0,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Library Database
9157,1032,525,2024-03-04,2024-04-03,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6.0,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Library Database
9383,1070,501,2024-07-11,2024-07-31,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,3.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9131,1034,505,2025-12-16,2025-12-25,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,Library Database
9113,1027,507,2024-06-26,2024-07-08,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Library Database
9144,1024,501,2025-11-07,2025-11-25,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17.0,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Library Database
9005,1008,513,2025-04-20,2025-04-29,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
9272,1044,518,2025-01-24,2025-02-04,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21.0,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,Library Database
9283,1072,513,2025-09-17,2025-09-25,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Library Database
